ID,zipcodes,zc_state,prop_pop_ge18,prop_hh_wchildren_le18,latitude,longitude,elevation,region,business_density_persqmi,avg_num_employees_perbiz,avg_annual_payroll_perbiz,growth_rank,growing_counties_b,growth_increase_percentage,prop_maildeliv_biz,pop_density,prop_water,prop_mail2pob,city_delivery_indicator,carrier_route_rate_sortation,shotguns2chardonnay,tatoo2tooth,spiritanimal,newzip1,newzip2,newzip3,ref_dt,date1,date2,date3,yb_4_05
2,00603,PR,0.764,0.298,18.458585,-67.129867,0,,0,0,0,0,0,0,0.041,1729.898,0.002,0,Y,D,47.99928394,0.789653198,Armadillo,00601,28787,13752,4/1/15,1/13/15,10/26/14,9/16/14,0
3,00606,PR,0.749,0.316,18.166734,-66.939233,0,,0,0,0,0,0,0,0.025,156.35,0,0.234,Y,C,17.04172822,0.730618682,Sun Bear,00601,57344,85138,4/1/15,2/14/15,1/2/15,9/23/14,0
5,00622,PR,0.799,0.24,17.992876,-67.153699,0,,0,0,0,0,0,0,0.001,270.915,0.022,0.001,N,C,41.75305525,2.525671939,Sun Bear,00601,47446,41559,4/1/15,12/10/14,11/26/14,10/1/14,0
8,00646,PR,0.737,0.355,18.459098,-66.272418,0,,0,0,0,0,0,0,0.039,1845.362,0.058,0.08,Y,D,37.9367626,4.848181413,Sun Bear,00601,98501,94024,4/1/15,1/9/15,12/25/14,11/5/14,0
9,00656,PR,0.746,0.318,18.037324,-66.796287,0,,0,0,0,0,0,0,0.014,662.585,0.049,0.169,Y,C,41.22833982,3.309220995,Mole Rat,00601,40202,54727,4/1/15,1/23/15,12/19/14,12/1/14,0
11,00667,PR,0.769,0.285,18.010034,-67.02263,0,,0,0,0,0,0,0,0.025,430.575,0.153,0.204,Y,D,55.08398848,48.43425044,Tapir,00601,22405,11550,4/1/15,12/22/14,11/12/14,11/5/14,0
14,00677,PR,0.775,0.287,18.331739,-67.231158,0,,0,0,0,0,0,0,0.02,1065.067,0.088,0.202,Y,C,32.55085638,46.21323705,Mole Rat,00601,13108,10537,4/1/15,3/12/15,11/27/14,9/28/14,0
16,00685,PR,0.762,0.313,18.316188,-66.974973,0,,0,0,0,0,0,0,0.036,552.43,0.01,0.138,Y,D,46.12939183,0.008610606,Mole Rat,00601,65692,37212,4/1/15,2/5/15,10/24/14,10/8/14,0
18,00688,PR,0.776,0.313,18.349991,-66.629553,0,,0,0,0,0,0,0,0.013,425.68,0.001,0.271,N,C,37.7321065,0.113508314,Tapir,00601,66017,38391,4/1/15,3/14/15,11/22/14,11/13/14,0
19,00693,PR,0.746,0.322,18.420721,-66.403342,0,,0,0,0,0,0,0,0.046,1552.34,0.035,0,Y,D,47.57751949,1.543816306,Wolverine,00601,27320,23967,4/1/15,12/10/14,9/4/14,5/30/14,0
